% #Source	#Target	#Weight
Dhaula.Kuan	Garision.Engineer	1
Dhaula.Kuan	South.Campus	1
Dhaula.Kuan	Partap.Chowk	3
Dhaula.Kuan	Airforce.Hqrs	2
Dhaula.Kuan	Nanak.Pura.Xing	1
RR.Lines	Mall.Road	4
RR.Lines	Dhaula.Kuan	1
RR.Lines	Shastri.Bazar	7
RR.Lines	Kirbi.Place	1
RR.Lines	Signal.Officer.Flats	5
RR.Lines	Golf.Club	3
RR.Lines	Brar.Square	5
RR.Lines	Garision.Engineer	7
RR.Lines	Gopi.Nath.Bzr.	2
Shastri.Bazar	Mall.Road	1
Shastri.Bazar	Kirbi.Place	5
Shastri.Bazar	Sadar.Thana	3
Shastri.Bazar	Palam.Tanki	1
Kirbi.Place	Lajwanti.Garden	6
Kirbi.Place	Sadar.Thana	1
Kirbi.Place	Signal.Officer.Flats	2
Kirbi.Place	Pehladpur	1
Kirbi.Place	Janak.Setu	10
Lajwanti.Garden	Desu.Colony	10
Lajwanti.Garden	Hari.Nagar.Depot	2
Lajwanti.Garden	Janak.Setu	3
Lajwanti.Garden	Hnd-1	2
Lajwanti.Garden	Junk.Market	1
Lajwanti.Garden	Janak.Puri.D-Blk	7
Desu.Colony	Dabri.Village	6
