% #source	#target	#weight
985	1014	2.0
990	1201	2.0
991	1014	2.0
992	1046	2.0
992	1096	1.0
993	1162	1.0
994	1015	1.0
995	1012	1.0
995	1077	31.0
995	1208	6.0
995	1215	7.0
996	997	2.0
996	1139	2.0
997	1139	12.0
999	1010	1.0
999	1027	14.0
999	1101	11.0
999	1106	5.0
999	1192	8.0
999	1197	15.0
1002	1016	2.0
1002	1030	4.0
1003	1080	2.0
1006	1020	2.0
1006	1165	1.0
1010	1027	9.0
1011	1021	67.0
1011	1025	1.0
1011	1142	3.0
1013	1158	1.0
1014	1030	4.0
1014	1098	1.0
1014	1206	7.0
1015	1154	10.0
1016	1101	2.0
1016	1214	1.0
1021	1022	2.0
1021	1023	17.0
1022	1024	2.0
1026	1215	3.0
1029	1202	1.0
1032	1033	1.0
1035	1102	3.0
1037	1092	1.0
1037	1105	22.0
1037	1134	38.0
1037	1166	1.0
1038	1099	4.0
1043	1083	40.0
1043	1091	22.0
1043	1093	1.0
1043	1095	53.0
1044	1115	1.0
1052	1213	1.0
1053	1095	45.0
1053	1109	41.0
1056	1162	1.0
1059	1213	43.0
1060	1140	19.0
1060	1168	16.0
1062	1152	1.0
1065	1066	1.0
1065	1152	3.0
1068	1069	1.0
1069	1195	1.0
1070	1071	1.0
1070	1190	8.0
1080	1163	20.0
1081	1083	41.0
1081	1091	21.0
1082	1091	1.0
1083	1093	1.0
1085	1088	7.0
1087	1088	4.0
1093	1095	9.0
1096	1118	1.0
1097	1110	2.0
1097	1111	4.0
1097	1214	3.0
1098	1120	1.0
1098	1121	39.0
1098	1122	4.0
1098	1192	34.0
1099	1126	4.0
1101	1112	2.0
1101	1216	10.0
1102	1109	10.0
1105	1134	1.0
1106	1192	4.0
1106	1197	4.0
1109	1207	34.0
1110	1112	3.0
1110	1216	2.0
1111	1216	4.0
1113	1125	2.0
1114	1163	36.0
1116	1117	3.0
1120	1204	1.0
1121	1204	40.0
1125	1132	3.0
1125	1205	3.0
1128	1204	34.0
1156	1176	2.0
1157	1176	3.0
1158	1160	4.0
1158	1161	1.0
1158	1212	1.0
1173	1174	1.0
1179	1180	1.0
1187	1190	5.0
1197	1206	7.0
1210	1213	40.0
1214	1216	19.0
